Customer_ID,Asset_Types,Investment_Amounts,Current_Values,Investment_Date
Customer_1,"Bonds, Gold, Stocks","15775.35, 15839.22, 30531.06","31729.48, 8806.69, 348.53","2020-06-10, 2020-06-24, 2024-02-07"
Customer_2,"Stocks, Real Estate, Bonds","10777.62, 26387.71, 29741.16","240.41, 16648.9, 34661.28","2021-06-26, 2022-12-16, 2024-11-21"
Customer_3,"Stocks, Real Estate","36044.04, 37082.7","683.03, 29095.5","2022-03-28, 2023-10-07"
Customer_4,"Gold, Crypto","25316.88, 16155.75","6156.88, 96404.28","2020-05-11, 2021-11-23"
Customer_5,"Gold, Crypto","15355.16, 14909.78","39710.66, 96404.28","2020-05-25, 2023-12-20"
Customer_6,"Stocks, Real Estate, Bonds","8033.01, 6413.58, 19869.28","264.14, 16783.02, 12277.15","2022-11-18, 2021-05-02, 2021-07-24"
Customer_7,"Gold, Crypto","30929.52, 15934.88","27388.3, 96404.28","2022-08-26, 2024-07-11"
Customer_8,"Gold, Stocks, Bonds","9361.89, 24397.3, 24061.04","7979.42, 179.5, 8333.7","2022-08-14, 2024-11-04, 2024-02-02"
Customer_9,"Stocks, Real Estate","20268.62, 43775.26","291.33, 12710.03","2021-05-24, 2021-01-27"
Customer_10,"Stocks, Real Estate, Bonds","17534.53, 16241.29, 46546.95","94.06, 40867.97, 34732.34","2022-06-26, 2024-07-12, 2024-10-30"
Customer_11,"Gold, Stocks, Bonds","48604.83, 46686.51, 43191.31","31474.71, 456.1, 14055.04","2020-12-06, 2022-04-12, 2022-09-21"
Customer_12,"Gold, Stocks, Bonds","49338.9, 16934.14, 40283.18","43312.53, 347.84, 31766.93","2022-07-20, 2021-08-07, 2022-05-16"
Customer_13,"Stocks, Real Estate, Bonds","18351.85, 48591.92, 31063.11","75.72, 37129.77, 32656.77","2023-01-15, 2020-05-04, 2024-03-11"
Customer_14,"Gold, Crypto","12084.47, 48235.05","15220.37, 39751.76","2020-06-13, 2024-10-09"
Customer_15,"Stocks, Real Estate","43781.86, 23169.9","310.51, 7185.79","2024-12-28, 2023-03-12"
Customer_16,"Gold, Stocks, Bonds","23865.12, 31265.25, 28525.22","44390.55, 169.53, 12198.31","2021-06-18, 2021-02-22, 2023-10-03"
Customer_17,"Stocks, Real Estate","18499.87, 19227.97","256.23, 59914.99","2024-03-19, 2020-05-28"
Customer_18,"Gold, Stocks, Bonds","8296.73, 14591.94, 16934.02","53359.86, 178.24, 29100.15","2021-12-15, 2024-12-09, 2020-05-20"
Customer_19,"Gold, Crypto","36659.3, 32525.5","34091.74, 43393.16","2024-07-10, 2023-09-01"
Customer_20,"Gold, Crypto","18472.04, 34852.49","19545.63, 54485.64","2024-12-03, 2020-10-02"
Customer_21,"Stocks, Real Estate","29895.06, 17255.67","141.62, 39883.09","2023-05-23, 2021-03-07"
Customer_22,"Bonds, Gold, Stocks","27743.41, 16300.46, 45867.16","28296.67, 20217.41, 200.1","2020-04-14, 2020-07-08, 2023-07-23"
Customer_23,"Stocks, Real Estate, Bonds","33670.1, 16787.99, 38355.39","54.35, 9138.41, 53570.85","2023-02-03, 2023-12-16, 2022-05-25"
Customer_24,"Stocks, Real Estate, Bonds","29551.56, 42556.78, 31212.93","188.72, 54443.98, 48786.73","2020-10-30, 2022-05-30, 2020-09-18"
Customer_25,"Gold, Stocks, Bonds","45451.61, 14453.44, 16228.84","35793.59, 488.23, 46221.27","2020-07-29, 2021-12-25, 2024-05-16"
Customer_26,"Stocks, Real Estate, Bonds","43907.26, 48929.27, 41484.73","381.45, 23270.2, 56194.87","2024-12-10, 2022-04-24, 2020-02-20"
Customer_27,"Stocks, Real Estate","43882.88, 41483.72","222.14, 7129.85","2021-06-30, 2020-11-22"
Customer_28,"Bonds, Stocks, Crypto","15009.52, 41746.4, 25713.65","52922.77, 60.65, 19656.49","2021-09-17, 2024-08-07, 2024-06-16"
Customer_29,"Bonds, Gold, Stocks","17537.14, 8123.93, 39799.7","26982.31, 58963.23, 199.02","2021-12-20, 2023-08-06, 2022-11-09"
Customer_30,"Gold, Stocks, Bonds","10190.38, 48668.03, 13035.55","37811.42, 377.85, 22252.25","2021-06-27, 2020-03-19, 2020-08-10"
Customer_31,"Gold, Crypto","49290.61, 10204.06","19009.74, 45439.26","2023-03-26, 2021-01-24"
Customer_32,"Gold, Stocks, Bonds","28396.42, 41292.99, 35908.57","15836.93, 81.49, 41533.07","2024-02-28, 2024-02-18, 2023-10-05"
Customer_33,"Bonds, Gold, Stocks","33041.99, 34852.44, 10608.14","41679.11, 22940.06, 299.49","2021-09-07, 2022-11-04, 2021-09-25"
Customer_34,"Stocks, Real Estate, Bonds","23920.09, 47316.37, 35479.31","232.73, 50854.88, 21713.12","2020-12-22, 2023-06-14, 2023-03-11"
Customer_35,"Stocks, Real Estate, Bonds","24344.97, 31099.32, 34461.75","280.03, 48655.45, 57790.76","2022-08-10, 2022-06-23, 2022-06-24"
Customer_36,"Stocks, Real Estate","12636.11, 8815.8","200.83, 50013.29","2022-11-21, 2023-09-21"
Customer_37,"Stocks, Real Estate, Bonds","35275.81, 15108.83, 13960.85","325.07, 47266.91, 30047.89","2020-02-20, 2020-04-04, 2021-05-16"
Customer_38,"Stocks, Real Estate","30905.19, 37325.57","159.79, 41083.19","2022-02-25, 2022-10-09"
Customer_39,"Gold, Stocks, Bonds","45169.69, 43719.83, 44845.93","14673.77, 259.05, 35657.32","2024-05-13, 2022-05-20, 2021-03-24"
Customer_40,"Gold, Stocks, Bonds","25540.78, 41063.75, 35041.0","57252.18, 325.69, 44560.07","2023-02-18, 2023-05-04, 2021-10-11"
Customer_41,"Gold, Crypto","24203.33, 45808.46","45901.05, 33733.72","2022-07-02, 2020-11-21"
Customer_42,"Bonds, Gold, Stocks","38829.96, 42793.83, 17479.01","39471.16, 20102.86, 371.1","2024-05-11, 2022-12-03, 2022-09-19"
Customer_43,"Stocks, Real Estate, Bonds","17227.18, 19386.93, 29306.85","362.28, 43853.05, 8532.59","2020-10-10, 2020-11-04, 2021-04-18"
Customer_44,"Bonds, Stocks, Crypto","19889.66, 25966.59, 7801.96","54766.12, 475.73, 10976.6","2024-09-01, 2022-05-10, 2022-03-08"
Customer_45,"Gold, Crypto","22117.15, 5265.32","46441.13, 52672.4","2021-12-21, 2021-09-03"
Customer_46,"Bonds, Stocks, Crypto","29219.93, 38058.53, 40994.07","20011.44, 63.06, 26806.48","2021-03-27, 2022-09-26, 2021-03-25"
Customer_47,"Stocks, Real Estate","40916.4, 37588.16","491.32, 34376.8","2024-09-17, 2022-08-15"
Customer_48,"Bonds, Stocks, Crypto","31635.17, 34834.99, 8777.64","30393.41, 167.07, 26367.63","2022-05-27, 2020-10-04, 2024-11-10"
